sLongitude, sLatitude
9.417498, 54.026146
9.417276, 54.026234
9.417055, 54.026321
9.416834, 54.026405
9.416613, 54.026493
9.416394, 54.026577
9.416181, 54.026657
9.415973, 54.026733
9.415769, 54.026806
9.415568, 54.026878
9.415370, 54.026951
9.415174, 54.027020
9.414974, 54.027092
9.414770, 54.027157
9.414557, 54.027218
9.414344, 54.027279
9.414129, 54.027336
9.413911, 54.027382
9.413690, 54.027420
9.413463, 54.027451
9.413232, 54.027473
9.412994, 54.027485
9.412752, 54.027485
9.412503, 54.027477
9.412241, 54.027462
9.411969, 54.027431
9.411691, 54.027390
9.411407, 54.027336
9.411124, 54.027279
9.410840, 54.027214
9.410555, 54.027145
9.410271, 54.027077
9.409986, 54.027008
9.409700, 54.026939
9.409418, 54.026871
9.409134, 54.026802
9.408848, 54.026730
9.408560, 54.026661
9.408273, 54.026592
9.407987, 54.026524
9.407699, 54.026455
9.407407, 54.026386
9.407113, 54.026318
9.406818, 54.026241
9.406522, 54.026161
9.406224, 54.026073
9.405930, 54.025986
9.405639, 54.025890
9.405346, 54.025795
9.405052, 54.025700
9.404756, 54.025608
9.404458, 54.025520
9.404154, 54.025448
9.403843, 54.025394
9.403528, 54.025364
9.403208, 54.025352
9.402883, 54.025360
9.402561, 54.025387
9.402240, 54.025433
9.401918, 54.025490
9.401602, 54.025551
9.401292, 54.025620
9.400985, 54.025673
9.400675, 54.025723
9.400359, 54.025753
9.400042, 54.025764
9.399725, 54.025761
9.399414, 54.025738
9.399111, 54.025692
9.398817, 54.025635
9.398536, 54.025558
9.398269, 54.025463
9.398016, 54.025349
9.397774, 54.025223
9.397541, 54.025078
9.397312, 54.024925
9.397086, 54.024761
9.396858, 54.024590
9.396631, 54.024414
9.396406, 54.024242
9.396181, 54.024071
9.395956, 54.023907
9.395732, 54.023743
9.395505, 54.023586
9.395272, 54.023434
9.395037, 54.023289
9.394794, 54.023151
9.394540, 54.023026
9.394277, 54.022911
9.394004, 54.022797
9.393721, 54.022694
9.393428, 54.022594
9.393130, 54.022507
9.392831, 54.022427
9.392529, 54.022354
9.392229, 54.022285
9.391929, 54.022221
9.391633, 54.022160
9.391352, 54.022102
9.391084, 54.022049
9.390833, 54.021999
9.390604, 54.021954
9.390392, 54.021912
9.390190, 54.021873
9.389994, 54.021839
9.389797, 54.021801
9.389601, 54.021774
9.389406, 54.021748
9.389217, 54.021729
9.389036, 54.021706
9.388866, 54.021675
9.388712, 54.021629
9.388567, 54.021576
9.388416, 54.021530
9.388252, 54.021492
9.388077, 54.021461
9.387895, 54.021427
9.387709, 54.021393
9.387518, 54.021358
9.387322, 54.021324
9.387120, 54.021290
9.386913, 54.021255
9.386703, 54.021221
9.386488, 54.021191
9.386268, 54.021156
9.386044, 54.021122
9.385819, 54.021088
9.385596, 54.021057
9.385373, 54.021027
9.385149, 54.020996
9.384922, 54.020962
9.384692, 54.020931
9.384458, 54.020901
9.384224, 54.020866
9.383996, 54.020836
9.383774, 54.020805
9.383557, 54.020779
9.383342, 54.020752
9.383125, 54.020721
9.382908, 54.020695
9.382691, 54.020664
9.382476, 54.020638
9.382261, 54.020611
9.382048, 54.020580
9.381835, 54.020554
9.381620, 54.020523
9.381406, 54.020493
9.381190, 54.020462
9.380975, 54.020432
9.380760, 54.020405
9.380545, 54.020374
9.380330, 54.020344
9.380116, 54.020313
9.379900, 54.020283
9.379683, 54.020252
9.379468, 54.020222
9.379249, 54.020187
9.379029, 54.020157
9.378811, 54.020123
9.378593, 54.020092
9.378378, 54.020061
9.378165, 54.020035
9.377954, 54.020004
9.377751, 54.019978
9.377559, 54.019951
9.377379, 54.019924
9.377214, 54.019901
9.377066, 54.019882
9.376941, 54.019863
9.376841, 54.019848
9.376760, 54.019836
9.376693, 54.019821
9.376636, 54.019806
9.376590, 54.019791
9.376560, 54.019772
9.376542, 54.019749
9.376534, 54.019722
9.376546, 54.019680
9.376577, 54.019634
9.376622, 54.019577
9.376670, 54.019508
9.376719, 54.019428
9.376766, 54.019344
9.376805, 54.019253
9.376837, 54.019154
9.376864, 54.019051
9.376886, 54.018948
9.376907, 54.018837
9.376929, 54.018726
9.376950, 54.018612
9.376974, 54.018497
9.377001, 54.018383
9.377028, 54.018265
9.377063, 54.018147
9.377112, 54.018032
9.377177, 54.017921
9.377250, 54.017811
9.377326, 54.017704
9.377406, 54.017593
9.377493, 54.017483
9.377580, 54.017365
9.377669, 54.017250
9.377759, 54.017132
9.377850, 54.017014
9.377939, 54.016895
9.378029, 54.016777
9.378119, 54.016659
9.378218, 54.016544
9.378318, 54.016426
9.378424, 54.016315
9.378539, 54.016205
9.378665, 54.016098
9.378798, 54.015991
9.378938, 54.015888
9.379077, 54.015781
9.379216, 54.015675
